checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label,task_3_response
0  to 200 debit memo,48,no credits taken,car (new),8358,500  to  1000 debit memo,<1 years,1,none,1,car or other,30,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1,1
no account,18,critical account,car (used),3850,<100 debit memo,4 to 7 years,3,none,1,car or other,27,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,11,critical account,radio/television,1154,100  to 500 debit memo,unemployed,4,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,female,divorced/separated,1,0
<0 debit memo,12,existing credits paid back duly till now,furniture/equipment,1858,<100 debit memo,<1 years,4,none,1,car or other,22,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1,0
<0 debit memo,12,existing credits paid back duly till now,car (new),1228,<100 debit memo,1 to  4 years,4,none,2,real estate,24,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,0,0
no account,33,critical account,car (used),7253,<100 debit memo,4 to 7 years,3,none,2,car or other,35,none,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,1
no account,27,existing credits paid back duly till now,repairs,5190,no savings account,>=7 years,4,none,4,savings agreement/life insurance,48,none,own,4,skilled employee / official,2,yes,yes,male,divorced/separated,1,1
no account,12,critical account,education,2096,<100 debit memo,4 to 7 years,2,none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,male,divorced/separated,1,0
0  to 200 debit memo,36,existing credits paid back duly till now,education,2273,<100 debit memo,4 to 7 years,3,none,1,car or other,32,none,own,2,skilled employee / official,2,none,yes,male,divorced/separated,1,1
no account,36,existing credits paid back duly till now,car (new),909,500  to  1000 debit memo,>=7 years,4,none,4,savings agreement/life insurance,36,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
0  to 200 debit memo,11,critical account,car (new),1322,>= 1000 debit memo,1 to  4 years,4,none,4,car or other,40,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1,1
no account,24,existing credits paid back duly till now,radio/television,2284,<100 debit memo,4 to 7 years,4,none,2,car or other,28,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
<0 debit memo,36,existing credits paid back duly till now,radio/television,2302,<100 debit memo,1 to  4 years,4,none,4,car or other,31,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1
no account,12,critical account,repairs,996,no savings account,4 to 7 years,4,none,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1,0
<0 debit memo,48,all credits at this bank paid back duly,business,7685,<100 debit memo,4 to 7 years,2,guarantor,4,car or other,37,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1
no account,15,critical account,radio/television,1459,<100 debit memo,1 to  4 years,4,none,2,car or other,43,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,1,0
no account,12,existing credits paid back duly till now,radio/television,3059,>= 1000 debit memo,4 to 7 years,2,none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1,1
no account,24,existing credits paid back duly till now,furniture/equipment,3062,500  to  1000 debit memo,>=7 years,4,none,3,unknown / no property,32,none,rent,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
0  to 200 debit memo,9,existing credits paid back duly till now,car (new),1549,no savings account,<1 years,4,none,2,real estate,35,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,male,divorced/separated,1,0
no account,24,delay in paying off,car (new),2032,<100 debit memo,>=7 years,4,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1,yes,yes,male,divorced/separated,1,0
0  to 200 debit memo,24,existing credits paid back duly till now,radio/television,3758,500  to  1000 debit memo,unemployed,1,none,4,unknown / no property,23,none,rent,1,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated,1,0
no account,30,critical account,radio/television,5954,<100 debit memo,4 to 7 years,3,co-applicant,2,car or other,38,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,18,critical account,radio/television,6070,<100 debit memo,>=7 years,3,none,4,car or other,33,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1,1
no account,15,existing credits paid back duly till now,car (used),3029,<100 debit memo,4 to 7 years,2,none,2,car or other,33,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,21,critical account,furniture/equipment,2288,<100 debit memo,<1 years,4,none,4,savings agreement/life insurance,23,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1,0
no account,12,critical account,furniture/equipment,3331,<100 debit memo,>=7 years,2,none,4,savings agreement/life insurance,42,store,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,12,all credits at this bank paid back duly,retraining,3447,500  to  1000 debit memo,1 to  4 years,4,none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes,female,divorced/separated,1,1
no account,12,critical account,radio/television,717,<100 debit memo,>=7 years,4,none,4,real estate,52,none,own,3,skilled employee / official,1,none,yes,male,divorced/separated,1,1
no account,12,critical account,business,2292,<100 debit memo,unemployed,4,none,2,car or other,42,store,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0
0  to 200 debit memo,24,delay in paying off,car (new),1965,no savings account,1 to  4 years,4,none,4,car or other,42,none,rent,2,skilled employee / official,1,yes,yes,female,divorced/separated,1,0
<0 debit memo,15,delay in paying off,furniture/equipment,3643,<100 debit memo,>=7 years,1,none,4,savings agreement/life insurance,27,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated,1,0
<0 debit memo,30,no credits taken,business,8072,no savings account,<1 years,2,none,3,car or other,25,bank,own,3,skilled employee / official,1,none,yes,male,divorced/separated,1,1
<0 debit memo,48,no credits taken,furniture/equipment,7119,<100 debit memo,1 to  4 years,3,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2,none,yes,male,divorced/separated,0,1
0  to 200 debit memo,24,existing credits paid back duly till now,car (used),4113,500  to  1000 debit memo,<1 years,3,none,4,car or other,28,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1
no account,30,all credits at this bank paid back duly,car (used),7485,no savings account,unemployed,4,none,1,real estate,53,bank,own,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,0,1
<0 debit memo,6,critical account,car (new),1361,<100 debit memo,<1 years,2,none,4,real estate,40,none,own,1,unskilled - resident,2,none,no,male,divorced/separated,1,0
no account,42,existing credits paid back duly till now,radio/television,7166,no savings account,4 to 7 years,2,none,4,savings agreement/life insurance,29,none,rent,1,skilled employee / official,1,yes,yes,male,married/widowed,1,1
<0 debit memo,42,delay in paying off,radio/television,4370,<100 debit memo,4 to 7 years,3,none,2,savings agreement/life insurance,26,bank,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,0,0
0  to 200 debit memo,9,existing credits paid back duly till now,radio/television,1670,<100 debit memo,<1 years,4,none,2,car or other,22,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,0,1
>= 200 debit memo ,6,critical account,car (new),1343,<100 debit memo,>=7 years,1,none,4,real estate,46,none,own,2,skilled employee / official,2,none,no,male,divorced/separated,1,1
