checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,class-label,task_6_response
0  to 200 debit memo,36,existing credits paid back duly till now,car (used),6948,<100 debit memo,1 to  4 years,2,none,2,car or other,35,none,rent,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,1,1
0  to 200 debit memo,12,existing credits paid back duly till now,car (new),1295,<100 debit memo,<1 years,3,none,1,car or other,25,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1
<0 debit memo,24,existing credits paid back duly till now,radio/television,1282,100  to 500 debit memo,1 to  4 years,4,none,2,car or other,32,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated,0,1
no account,9,critical account,car (new),2134,<100 debit memo,1 to  4 years,4,none,4,car or other,48,none,own,3,skilled employee / official,1,yes,yes,male,divorced/separated,1,0
<0 debit memo,10,critical account,car (new),2241,<100 debit memo,<1 years,1,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,male,divorced/separated,1,0
<0 debit memo,6,existing credits paid back duly till now,furniture/equipment,1374,<100 debit memo,1 to  4 years,1,none,2,real estate,36,bank,own,1,unskilled - resident,1,yes,yes,male,divorced/separated,1,1
no account,6,no credits taken,radio/television,426,<100 debit memo,>=7 years,4,none,4,car or other,39,none,own,1,unskilled - resident,1,none,yes,male,married/widowed,1,1
>= 200 debit memo ,18,existing credits paid back duly till now,radio/television,2100,<100 debit memo,1 to  4 years,4,co-applicant,2,real estate,37,store,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1
<0 debit memo,30,critical account,car (used),6187,100  to 500 debit memo,4 to 7 years,1,none,4,car or other,24,none,rent,2,skilled employee / official,1,none,yes,male,married/widowed,1,0
no account,24,existing credits paid back duly till now,radio/television,3181,<100 debit memo,<1 years,4,none,4,savings agreement/life insurance,26,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,1,1
no account,7,critical account,radio/television,730,no savings account,>=7 years,4,none,2,savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,yes,yes,male,divorced/separated,1,1
<0 debit memo,8,critical account,others,1164,<100 debit memo,>=7 years,3,none,4,unknown / no property,51,bank,for free,2,management/ highly qualified employee,2,yes,yes,male,divorced/separated,1,0
<0 debit memo,12,critical account,car (used),1526,<100 debit memo,>=7 years,4,none,4,unknown / no property,66,none,for free,2,management/ highly qualified employee,1,none,yes,male,divorced/separated,1,0
0  to 200 debit memo,11,delay in paying off,radio/television,4771,<100 debit memo,4 to 7 years,2,none,4,savings agreement/life insurance,51,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,0
0  to 200 debit memo,18,critical account,furniture/equipment,1295,<100 debit memo,<1 years,4,none,1,savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,1,0
0  to 200 debit memo,36,existing credits paid back duly till now,education,12612,100  to 500 debit memo,1 to  4 years,1,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,yes,yes,male,divorced/separated,0,0
no account,12,critical account,education,2012,no savings account,4 to 7 years,4,none,2,car or other,61,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,0
<0 debit memo,12,existing credits paid back duly till now,radio/television,701,<100 debit memo,1 to  4 years,4,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,male,married/widowed,1,1
<0 debit memo,12,critical account,car (new),3499,<100 debit memo,1 to  4 years,3,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated,0,0
0  to 200 debit memo,48,existing credits paid back duly till now,car (new),8487,no savings account,4 to 7 years,1,none,2,car or other,24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1
