checking-account,duration,credit-history,purpose,credit-amount,savings-account,employment-since,installment-rate,other-debtors,residence-since,property,age,other-installment,housing,existing-credits,job,numner-people-provide-maintenance-for,telephone,foreign-worker,sex,marital-status,task_1_response,task_2_response,task_3_response,task_4_response,task_5_response,class-label
<0 debit memo,18,existing credits paid back duly till now,radio/television,3190,<100 debit memo,1 to  4 years,2,none,2,real estate,24,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1,0,0,1,0
<0 debit memo,18,existing credits paid back duly till now,car (new),4380,100  to 500 debit memo,1 to  4 years,3,none,4,car or other,35,none,own,1,unskilled - resident,2,yes,yes,male,divorced/separated,0,1,1,0,0,1
<0 debit memo,24,all credits at this bank paid back duly,car (new),2325,100  to 500 debit memo,4 to 7 years,2,none,3,car or other,32,bank,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,1
>= 200 debit memo ,12,existing credits paid back duly till now,radio/television,1297,<100 debit memo,1 to  4 years,3,none,4,real estate,23,none,rent,1,skilled employee / official,1,none,yes,male,married/widowed,1,1,1,1,1,1
no account,33,critical account,car (used),7253,<100 debit memo,4 to 7 years,3,none,2,car or other,35,none,own,2,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0,0,0,0,1
<0 debit memo,24,existing credits paid back duly till now,radio/television,2384,<100 debit memo,>=7 years,4,none,4,real estate,64,bank,rent,1,unskilled - resident,1,none,yes,male,divorced/separated,0,1,1,0,1,1
>= 200 debit memo ,6,existing credits paid back duly till now,furniture/equipment,2116,<100 debit memo,1 to  4 years,2,none,2,real estate,41,none,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
0  to 200 debit memo,12,delay in paying off,radio/television,585,<100 debit memo,1 to  4 years,4,co-applicant,4,real estate,20,none,rent,2,skilled employee / official,1,none,yes,male,married/widowed,0,0,0,0,0,1
no account,9,existing credits paid back duly till now,car (new),3577,100  to 500 debit memo,1 to  4 years,1,guarantor,2,real estate,26,none,rent,1,skilled employee / official,2,none,no,male,divorced/separated,0,0,0,0,0,1
no account,27,delay in paying off,car (used),8613,>= 1000 debit memo,1 to  4 years,2,none,2,car or other,27,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,6,existing credits paid back duly till now,radio/television,484,<100 debit memo,4 to 7 years,3,guarantor,3,real estate,28,bank,own,1,unskilled - resident,1,none,yes,male,married/widowed,1,1,1,0,1,1
<0 debit memo,42,existing credits paid back duly till now,radio/television,3965,<100 debit memo,<1 years,4,none,3,car or other,34,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1,0,0,0,0
no account,24,existing credits paid back duly till now,radio/television,1376,500  to  1000 debit memo,4 to 7 years,4,none,1,car or other,28,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1,1,1,1,1
<0 debit memo,60,existing credits paid back duly till now,business,7297,<100 debit memo,>=7 years,4,co-applicant,4,unknown / no property,36,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,0
0  to 200 debit memo,60,existing credits paid back duly till now,education,6288,<100 debit memo,1 to  4 years,4,none,4,unknown / no property,42,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,0
<0 debit memo,18,existing credits paid back duly till now,furniture/equipment,4153,<100 debit memo,1 to  4 years,2,co-applicant,3,car or other,42,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1,0,1,0,0
no account,15,critical account,car (used),3368,>= 1000 debit memo,>=7 years,3,none,4,unknown / no property,23,none,rent,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,0,0,0,0,1
no account,18,critical account,radio/television,1098,<100 debit memo,unemployed,4,none,4,car or other,65,none,own,2,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated,0,0,0,0,0,1
<0 debit memo,18,critical account,furniture/equipment,2124,<100 debit memo,1 to  4 years,4,none,4,real estate,24,none,rent,2,skilled employee / official,1,none,yes,female,divorced/separated,0,0,0,0,0,0
<0 debit memo,15,delay in paying off,furniture/equipment,3643,<100 debit memo,>=7 years,1,none,4,savings agreement/life insurance,27,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated,0,0,0,0,0,1
no account,48,critical account,car (used),8858,no savings account,4 to 7 years,2,none,1,unknown / no property,35,none,for free,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,0,0,0,0,1
<0 debit memo,21,delay in paying off,education,3414,<100 debit memo,<1 years,2,none,1,savings agreement/life insurance,26,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,0
no account,18,critical account,radio/television,6070,<100 debit memo,>=7 years,3,none,4,car or other,33,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,0,0,0,0,1
no account,4,critical account,radio/television,1503,<100 debit memo,4 to 7 years,2,none,1,real estate,42,none,own,2,unskilled - resident,2,none,yes,male,divorced/separated,0,0,0,0,0,1
no account,9,critical account,radio/television,3074,no savings account,1 to  4 years,1,none,2,real estate,33,none,own,2,skilled employee / official,2,none,yes,male,divorced/separated,0,0,0,0,0,1
<0 debit memo,24,existing credits paid back duly till now,radio/television,1823,<100 debit memo,unemployed,4,none,2,car or other,30,store,own,1,management/ highly qualified employee,2,none,yes,male,divorced/separated,0,1,0,0,0,0
0  to 200 debit memo,36,existing credits paid back duly till now,radio/television,2323,<100 debit memo,4 to 7 years,4,none,4,car or other,24,none,rent,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,1
>= 200 debit memo ,42,no credits taken,business,6289,<100 debit memo,<1 years,2,none,1,savings agreement/life insurance,33,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,1
no account,36,critical account,car (used),10477,no savings account,>=7 years,2,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,1
no account,12,existing credits paid back duly till now,car (new),2859,no savings account,unemployed,4,none,4,unknown / no property,38,none,own,1,management/ highly qualified employee,1,yes,yes,male,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,13,critical account,radio/television,882,<100 debit memo,<1 years,4,guarantor,4,real estate,23,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,1,1
>= 200 debit memo ,12,existing credits paid back duly till now,radio/television,1881,<100 debit memo,1 to  4 years,2,none,2,car or other,44,none,rent,1,unskilled - resident,1,yes,yes,female,divorced/separated,0,1,1,0,1,1
no account,18,critical account,car (new),1530,<100 debit memo,1 to  4 years,3,none,2,savings agreement/life insurance,32,bank,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,1,1,0,0,0
>= 200 debit memo ,6,critical account,car (new),1323,100  to 500 debit memo,>=7 years,2,none,4,car or other,28,none,own,2,skilled employee / official,2,yes,yes,male,divorced/separated,1,1,1,0,1,1
no account,36,existing credits paid back duly till now,car (new),3079,no savings account,1 to  4 years,4,none,4,real estate,36,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,1
0  to 200 debit memo,24,existing credits paid back duly till now,car (used),2760,no savings account,>=7 years,4,none,4,unknown / no property,36,bank,for free,1,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
0  to 200 debit memo,36,delay in paying off,car (new),2862,100  to 500 debit memo,>=7 years,4,none,3,unknown / no property,30,none,for free,1,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,1
no account,12,existing credits paid back duly till now,car (new),2133,no savings account,>=7 years,4,none,4,unknown / no property,52,none,for free,1,management/ highly qualified employee,1,yes,yes,female,divorced/separated,1,1,0,0,0,1
no account,20,critical account,car (new),3485,no savings account,<1 years,2,none,4,real estate,44,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,0,0,0,0,1
<0 debit memo,36,critical account,furniture/equipment,6229,<100 debit memo,<1 years,4,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,yes,yes,female,divorced/separated,0,0,0,0,0,0
>= 200 debit memo ,36,existing credits paid back duly till now,radio/television,4473,<100 debit memo,>=7 years,4,none,2,car or other,31,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,1
no account,12,critical account,education,2012,no savings account,4 to 7 years,4,none,2,car or other,61,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,0,0,0,0,1
>= 200 debit memo ,24,existing credits paid back duly till now,furniture/equipment,3749,<100 debit memo,<1 years,2,none,4,car or other,26,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1,1,0,1,1
no account,30,critical account,radio/television,2831,<100 debit memo,1 to  4 years,4,none,2,car or other,33,none,own,1,skilled employee / official,1,yes,yes,female,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,21,critical account,furniture/equipment,2745,>= 1000 debit memo,4 to 7 years,3,none,2,car or other,32,none,own,2,skilled employee / official,1,yes,yes,male,divorced/separated,1,1,1,1,1,1
<0 debit memo,12,existing credits paid back duly till now,furniture/equipment,1262,no savings account,>=7 years,2,none,4,savings agreement/life insurance,49,none,own,1,unskilled - resident,1,yes,yes,male,divorced/separated,1,1,1,0,1,1
<0 debit memo,24,all credits at this bank paid back duly,furniture/equipment,6872,<100 debit memo,<1 years,2,none,1,savings agreement/life insurance,55,bank,own,1,skilled employee / official,1,yes,yes,male,divorced/separated,0,0,0,0,0,0
0  to 200 debit memo,9,existing credits paid back duly till now,furniture/equipment,918,<100 debit memo,1 to  4 years,4,none,1,savings agreement/life insurance,30,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1,1,0,1,0
>= 200 debit memo ,12,all credits at this bank paid back duly,business,609,<100 debit memo,<1 years,4,none,1,real estate,26,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,female,divorced/separated,0,0,0,0,0,0
no account,4,existing credits paid back duly till now,furniture/equipment,601,<100 debit memo,<1 years,1,none,3,real estate,23,none,rent,1,unskilled - resident,2,none,yes,female,divorced/separated,0,1,0,0,0,1
<0 debit memo,24,existing credits paid back duly till now,furniture/equipment,3234,<100 debit memo,<1 years,4,none,4,real estate,23,none,rent,1,unskilled - resident,1,yes,yes,female,divorced/separated,0,1,0,0,0,0
no account,30,critical account,radio/television,6742,no savings account,4 to 7 years,2,none,3,savings agreement/life insurance,36,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,1
<0 debit memo,24,existing credits paid back duly till now,radio/television,1603,<100 debit memo,>=7 years,4,none,4,car or other,55,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1,1,0,1,1
0  to 200 debit memo,36,critical account,car (new),2820,<100 debit memo,<1 years,4,none,4,car or other,27,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,0,0,0,0,0,0
0  to 200 debit memo,12,critical account,car (used),1804,100  to 500 debit memo,<1 years,3,none,4,savings agreement/life insurance,44,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,0,1,0,0,1
0  to 200 debit memo,18,existing credits paid back duly till now,business,1913,>= 1000 debit memo,<1 years,3,none,3,real estate,36,bank,own,1,skilled employee / official,1,yes,yes,male,married/widowed,1,1,1,1,1,1
<0 debit memo,6,critical account,car (new),3676,<100 debit memo,1 to  4 years,1,none,3,real estate,37,none,rent,3,skilled employee / official,2,none,yes,male,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,12,existing credits paid back duly till now,car (new),1295,<100 debit memo,<1 years,3,none,1,car or other,25,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,1,1,1,0,1,0
<0 debit memo,12,existing credits paid back duly till now,education,1200,no savings account,1 to  4 years,4,none,4,savings agreement/life insurance,23,bank,rent,1,skilled employee / official,1,yes,yes,female,divorced/separated,1,0,0,0,0,1
no account,12,existing credits paid back duly till now,car (new),1101,<100 debit memo,1 to  4 years,3,none,2,real estate,27,none,own,2,skilled employee / official,1,yes,yes,male,married/widowed,1,1,1,1,1,1
no account,12,existing credits paid back duly till now,car (used),4675,no savings account,<1 years,1,none,4,car or other,20,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,36,delay in paying off,car (new),2225,<100 debit memo,>=7 years,4,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,yes,yes,male,divorced/separated,0,0,0,0,0,0
<0 debit memo,30,existing credits paid back duly till now,furniture/equipment,6350,no savings account,>=7 years,4,none,4,savings agreement/life insurance,31,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,0,1,0,0,0
no account,12,existing credits paid back duly till now,car (used),1413,>= 1000 debit memo,4 to 7 years,3,none,2,savings agreement/life insurance,55,none,own,1,skilled employee / official,1,none,no,male,divorced/separated,1,1,1,0,1,1
>= 200 debit memo ,10,existing credits paid back duly till now,furniture/equipment,1275,<100 debit memo,<1 years,4,none,2,savings agreement/life insurance,23,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1,1,0,1,1
0  to 200 debit memo,24,existing credits paid back duly till now,radio/television,2896,100  to 500 debit memo,<1 years,2,none,1,car or other,29,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,1
no account,21,existing credits paid back duly till now,furniture/equipment,2241,<100 debit memo,>=7 years,4,none,2,real estate,50,none,own,2,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,1,1,1
<0 debit memo,18,existing credits paid back duly till now,radio/television,2389,<100 debit memo,<1 years,4,none,1,car or other,27,store,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,1,1,1,1,1
no account,36,existing credits paid back duly till now,car (used),8133,<100 debit memo,1 to  4 years,1,none,2,savings agreement/life insurance,30,bank,own,1,skilled employee / official,1,none,yes,female,divorced/separated,0,0,0,0,0,1
>= 200 debit memo ,18,existing credits paid back duly till now,furniture/equipment,2864,<100 debit memo,1 to  4 years,2,none,1,real estate,34,none,own,1,unskilled - resident,2,none,yes,male,divorced/separated,0,1,1,0,1,0
0  to 200 debit memo,12,existing credits paid back duly till now,car (new),6078,<100 debit memo,4 to 7 years,2,none,2,car or other,32,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,0,1,0,0,0,1
0  to 200 debit memo,6,existing credits paid back duly till now,radio/television,368,no savings account,>=7 years,4,none,4,savings agreement/life insurance,38,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated,1,1,1,0,1,1
<0 debit memo,12,critical account,radio/television,385,<100 debit memo,4 to 7 years,4,none,3,real estate,58,none,own,4,unskilled - resident,1,yes,yes,female,divorced/separated,0,0,0,0,0,1
0  to 200 debit memo,10,all credits at this bank paid back duly,radio/television,1048,<100 debit memo,1 to  4 years,4,none,4,real estate,23,store,own,1,unskilled - resident,1,none,yes,male,divorced/separated,1,1,1,1,1,1
